,IMDB ID,Rotten Tomatoes ID,Title,Action & Adventure,Animation,Art House & International,Classics,Comedy,Cult Movies,Documentary,Drama,Horror,Kids & Family,Musical & Performing Arts,Mystery & Suspense,Romance,Science Fiction & Fantasy,Special Interest,Television,Western,Critics Score,Audience Score,Audience Rating,Critics Rating,runtime,year,mpaa_rating,actor1,character1,actor2,character2,actor3,character3,actor4,character4,actor5,character5,Budget,Gross,IMDB ID.1,Oscar Wins,Oscar Nominations,number,num_missing,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,length
243,0083907,16969,The Evil Dead,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,98,84,Upright,Fresh,85.0,1981,R,Bruce Campbell,"Ashley ""Ash"" J. Williams",Ellen Sandweiss,Cheryl,Betsy Baker,Linda,Hal Delrich,Scott,Sarah York,Shelly,375000.0,2400000.0,83907,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9895901845874954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1547.0
242,0116225,14018,Escape from L.A.,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,53,40,Spilled,Rotten,100.0,1996,R,Kurt Russell,Snake Plissken,Stacy Keach,Malloy,Steve Buscemi,Map to the Stars Eddie,Peter Fonda,Pipeline,Cliff Robertson,President,50000000.0,25477365.0,116225,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05710893183613587,0.0,0.0,0.0,0.0,0.0,0.33527361559194857,0.09887365293735595,0.019140209277610235,0.0,0.0,0.0,0.0,0.0,0.06554598881298748,0.0,0.0,0.0,0.0,0.1675921916236356,0.0,0.0,0.0,0.0,0.0,0.0,0.10333634858121489,0.0,0.0,0.0,0.0,0.14559538149809634,0.0,0.0,0.0,3869.0
241,0080684,11470,Star Wars: Episode V - The Empire Strikes Back,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,96,97,Upright,Certified Fresh,124.0,1980,PG,Mark Hamill,Luke Skywalker,Harrison Ford,Han Solo,Carrie Fisher,Princess Leia,David Prowse,Darth Vader,James Earl Jones,Darth Vader,18000000.0,290475067.0,80684,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011694188861869195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9461731962538306,0.0,0.0,0.0,0.0,0.0,0.0,0.04195671668070635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5343.0
240,0080678,10377,The Elephant Man,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,93,Upright,Fresh,123.0,1980,PG,Anthony Hopkins,Dr. Frederick Treves,John Hurt,John Merrick,Anne Bancroft,Mrs. Madge Kendal,John Gielgud,Carr Gomm,Wendy Hiller,Mothershead,5000000.0,26010864.0,80678,0,8,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3098249358506667,0.0,0.0,0.0,0.0,0.21057805963888376,0.0,0.020747221215229573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40983924187164494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032922585806805016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4455.0
239,0087182,10851,Dune,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,68,Upright,Rotten,137.0,1984,PG-13,Francesca Annis,Lady Jessica,Leo Cimino,The Baron's Doctor,Brad Dourif,Piter De Vries,Jose Ferrer,Padishah Emperor Shaddam IV,Linda Hunt,Shadout Mapes,40000000.0,30925690.0,87182,0,1,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5974843161990212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02862066666316938,0.0,0.15251040750930023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14694084511714225,0.0,0.0,0.0,0.0,0.03961502432149385,0.0,0.0,0.0,0.0,0.0,0.0,0.03384591396040645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3359.0
238,0057012,12368,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,100,94,Upright,Certified Fresh,95.0,1964,PG,Peter Sellers,Dr. Strangelove,George C. Scott,Gen. Buck Turgidson,Sterling Hayden,Gen. Jack D. Ripper,Keenan Wynn,Col. Bat Guano,Slim Pickens,"Maj. T.J. ""King"" Kong",1800000.0,9440272.0,57012,0,4,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9607429536436651,0.0,0.0,0.0,0.0,0.0,0.037021851628792755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2284.0
237,0120655,13107,Dogma,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67,86,Upright,Fresh,128.0,1999,R,Ben Affleck,Bartleby,George Carlin,Cardinal Glick,Matt Damon,Loki,Linda Fiorentino,Bethany,Salma Hayek,Serendipity,10000000.0,30651422.0,120655,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01431751044942942,0.0,0.0,0.16749648354760854,0.0,0.0,0.0,0.0,0.06800831153378668,0.012054587200043014,0.07681816441524053,0.1094264901612272,0.0,0.0,0.0,0.0,0.0,0.0,0.2640484967976688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24563621911276048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033579950555867884,0.0,0.0,0.0,4434.0
236,0097216,13900,Do the Right Thing,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,96,90,Upright,Certified Fresh,120.0,1989,R,Danny Aiello,Sal,Spike Lee,Mookie,Richard Edson,Vito,John Turturro,Pino,Giancarlo Esposito,Buggin Out,6500000.0,27545445.0,97216,0,2,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.923148034173484,0.0,0.0,0.0,0.0,0.0,0.07630087512617172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.0
353,0114478,14110,Smoke,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,93,90,Upright,Fresh,112.0,1995,R,William Hurt,Paul Benjamin,Harvey Keitel,Auggie Wren,Forest Whitaker,Cyrus Cole,Harold Perrineau Jr.,Thomas (Rashid) Cole,Victor Argo,Vinnie,7000000.0,8349430.0,114478,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742121059458685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06849382628782681,0.0,0.0,0.0,0.0,0.0,0.0,0.15656465378569787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011072463247954863,3481.0
234,0118956,13842,Deep Rising,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,30,43,Spilled,Rotten,106.0,1998,R,Treat Williams,John Finnegan,Famke Janssen,Trillian,Anthony Heald,Simon Canton,Kevin J. O'Connor,Joey Pantucci,Wes Studi,Hanover,45000000.0,11146409.0,118956,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013198088892827331,0.0,0.0,0.0,0.0,0.0,0.0,0.46676494622003756,0.057607736038865875,0.0,0.0,0.0,0.0,0.0,0.0,0.11821148348085439,0.0,0.0,0.0,0.0,0.27686419633709286,0.0,0.0,0.0,0.0,0.0,0.0,0.0473875952719597,0.0,0.0,0.0,0.0,0.012904475478343573,0.0,0.0,0.0,2716.0
