IMDB ID	Rotten Tomatoes ID	Title	Action & Adventure	Animation	Art House & International	Classics	Comedy	Cult Movies	Documentary	Drama	Horror	Kids & Family	Musical & Performing Arts	Mystery & Suspense	Romance	Science Fiction & Fantasy	Special Interest	Television	Western	Critics Score	Audience Score	Audience Rating	Critics Rating	runtime	year	mpaa_rating	actor1	character1	actor2	character2	actor3	character3	actor4	character4	actor5	character5	Budget	Gross	Oscar Wins	Oscar Nominations
0105695	13014	"Unforgiven"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	96	94	Upright	Certified Fresh	131	1992	"R"	Clint Eastwood	Bill Munny	Gene Hackman	Sheriff "Little Bill" Daggett	Morgan Freeman	Ned Logan	Richard Harris	English Bob	Jaimz Woolvett	The "Schofield Kid"	14400000	74681912	4	5	
0116695	13109	"Jerry Maguire"	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	85	79	Upright	Certified Fresh	138	1996	"R"	Tom Cruise	Jerry Maguire	Cuba Gooding Jr.	Rod Tidwell	Renee Zellweger	Dorothy Boyd	Kelly Preston	Avery Bishop	Jay Mohr	Bob Sugar	50000000	153620822	1	4	
0061512	18102	"Cool Hand Luke"	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	100	95	Upright	Certified Fresh	126	1967	"PG"	Paul Newman	Lucas (Luke) Jackson	George Kennedy	Dragline	J.D. Cannon	Society Red	Lou Antonio	Koko	Robert Drivas	Loudmouth Steve			1	3	
0064665	13053	"Midnight Cowboy"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	88	88	Upright	Certified Fresh	113	1969	"R"	Dustin Hoffman	Enrico "Ratso" Rizzo	Jon Voight	Joe Buck	Sylvia Miles	Cass	John McGiver	O'Daniel	Brenda Vaccaro	Shirley	3600000	44785053	3	4	
0119349	13634	"The Ice Storm"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	83	83	Upright	Certified Fresh	113	1997	"R"	Kevin Kline	Ben Hood	Joan Allen	Elena Hood	Sigourney Weaver	Janey Carver	Tobey Maguire	Paul Hood	Christina Ricci	Wendy Hood	18000000	7837632	0	0	
0209958	13516	"The Cell"	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	45	57	Spilled	Rotten	106	2000	"R"	Jennifer Lopez	Catherine Deane	Vince Vaughn	Agent Peter Novak	Vincent D'Onofrio	Carl Stargher	Jake Weber	Agent Gordon Ramsey	Dylan Baker	Henry West	33000000	61280963	0	1	
0072890	13185	"Dog Day Afternoon"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	97	90	Upright	Fresh	150	1975	"R"	Al Pacino	Sonny	John Cazale	Sal	Charles Durning	N.Y. Detective Moretti	Chris Sarandon	Leon	Sully Boyar	Bank Manager Mulvaney			1	5	
0093565	10256	"Moonstruck"	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	93	81	Upright	Certified Fresh	103	1987	"PG"	Cher	Loretta Castorini	Nicolas Cage	Ronny Cammareri	Vincent Gardenia	Cosmo Castorini	Olympia Dukakis	Rose Castorini	Danny Aiello	Johnny Cammareri			3	3	
0207201	10661	"What Women Want"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	54	54	Spilled	Rotten	127	2000	"PG-13"	Mel Gibson	Nick Marshall	Helen Hunt	Darcy Maguire	Marisa Tomei	Lola	Mark Feuerstein	Morgan Farwell	Lauren Holly	Gigi	70000000	182805123	0	0	
0281358	10093	"A Walk to Remember"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	27	78	Upright	Rotten	100	2002	"PG"	Mandy Moore	Jamie Sullivan	Shane West	Landon Carter	Peter Coyote	Rev. Sullivan	Daryl Hannah	Cynthia Carter	Lauren German	Belinda	11000000	41227069	0	0	
