IMDB ID	Rotten Tomatoes ID	Title	Action & Adventure	Animation	Art House & International	Classics	Comedy	Cult Movies	Documentary	Drama	Horror	Kids & Family	Musical & Performing Arts	Mystery & Suspense	Romance	Science Fiction & Fantasy	Special Interest	Television	Western	Critics Score	Audience Score	Audience Rating	Critics Rating	runtime	year	mpaa_rating	actor1	character1	actor2	character2	actor3	character3	actor4	character4	actor5	character5	Budget	Gross	Oscar Wins	Oscar Nominations
0104691	14752	"The Last of the Mohicans"	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	97	88	Upright	Fresh	114	1992	"R"	Daniel Day-Lewis	Hawkeye	Madeleine Stowe	Cora Munro	Russell Means	Chingachgook	Eric Schweig	Uncas	Jodhi May	Alice Munro	40000000	75505856	1	0	
0111127	13696	"Serial Mom"	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	60	72	Upright	Fresh	93	1994	"R"	Kathleen Turner	Beverly Sutphin	Sam Waterston	Eugene Sutphin	Ricki Lake	Misty Sutphin	Matthew Lillard	Chip Sutphin	Mary Jo Catlett	Rosemary Ackerman	13000000	7881335	0	0	
0081398	15121	"Raging Bull"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	98	93	Upright	Certified Fresh	128	1980	"R"	Robert De Niro	Jake LaMotta	Cathy Moriarty	Vickie LaMotta	Joe Pesci	Joey LaMotta	Frank Vincent	Salvy	Nicholas Colasanto	Tommy Como	18000000	23383987	2	6	
0086879	10286	"Amadeus"	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	96	95	Upright	Certified Fresh	158	1984	"R"	F Murray Abraham	Antonio Salieri	Tom Hulce	Wolfgang Amadeus Mozart	Elizabeth Berridge	Constance Mozart	Simon Callow	Emanuel Schikaneder	Roy Dotrice	Leopold Mozart	18000000	366401	8	3	
0119217	12887	"Good Will Hunting"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	97	94	Upright	Certified Fresh	126	1997	"R"	Matt Damon	Will Hunting	Robin Williams	Sean McGuire	Ben Affleck	Chuckie	Minnie Driver	Skylar	Stellan Skarsgard	Lambeau	10000000	138339411	2	7	
0112401	14056	"Assassins"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	45	Spilled	Rotten	105	1995	"R"	Sylvester Stallone	Robert Rath	Antonio Banderas	Miguel Bain	Julianne Moore	Electra	Anatoly Davydov	Nikolai	Axel Anderson	Bank President	50000000	30306268	0	0	
0051036	19162	"Sweet Smell of Success"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	98	93	Upright	Certified Fresh	96	1957	"Unrated"	Burt Lancaster	J.J. Hunsecker	Tony Curtis	Sidney Falco	Susan Harrison	Susan Hunsecker	Martin Milner	Steve Dallas	Sam Levene	Frank D'Angelo	2600000		0	0	
0185371	13420	"House on Haunted Hill"	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	27	42	Spilled	Rotten	96	1999	"R"	Geoffrey Rush	Steven Price	Famke Janssen	Evelyn Price	Taye Diggs	Eddie	Peter Gallagher	Dr. Blackburn	Chris Kattan	Watson Prichett	19000000	40846082	0	0	
0258000	13778	"Panic Room"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	76	62	Upright	Certified Fresh	112	2002	"R"	Jodie Foster	Meg Altman	Forest Whitaker	Burnham	Dwight Yoakam	Raoul	Jared Leto	Junior	Kristen Stewart	Sarah Altman	48000000	95308367	0	0	
0087182	10851	"Dune"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	55	68	Upright	Rotten	137	1984	"PG-13"	Francesca Annis	Lady Jessica	Leo Cimino	The Baron's Doctor	Brad Dourif	Piter De Vries	Jose Ferrer	Padishah Emperor Shaddam IV	Linda Hunt	Shadout Mapes	40000000	30925690	0	1	
0078748	13492	"Alien"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	97	94	Upright	Certified Fresh	117	1979	"R"	Tom Skerritt	Dallas	Sigourney Weaver	Ellen Ripley	Veronica Cartwright	Lambert	Yaphet Kotto	Parker	Harry Dean Stanton	Brett	11000000	80930630	1	1	
0140352	13136	"The Insider"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	96	91	Upright	Certified Fresh	157	1999	"R"	Al Pacino	Lowell Bergman	Russell Crowe	Jeffrey Wigand	Christopher Plummer	Mike Wallace	Diane Venora	Liane Wigand	Philip Baker Hall	Don Hewitt	90000000	28965197	0	7	
0088206	11892	"Supergirl"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	26	Spilled	Rotten	114	1984	"PG"	Faye Dunaway	Selena	Helen Slater	Kara/Linda Lee	Peter O'Toole	Zaltar	Peter Cook	Nigel	Brenda Vaccaro	Bianca	35000000	14296000	0	0	
0195945	13546	"Next Friday"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	20	77	Upright	Rotten	98	2000	"R"	Ice Cube	Craig Jones	Mike Epps	Day-Day	Justin Pierce	Roach	John Witherspoon	Mr. Jones	Don "DC" Curry	Uncle Elroy	9500000	57176582	0	0	
0199725	10414	"Love and Basketball"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	82	95	Upright	Certified Fresh	124	2000	"PG-13"	Sanaa Lathan	Monica Wright	Omar Epps	Quincy McCall	Alfre Woodard	Camille Wright	Dennis Haysbert	Zeke McCall	Debbi Morgan	Mona McCall	15000000	27441122	0	0	
0118715	14281	"The Big Lebowski"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	80	94	Upright	Certified Fresh	118	1998	"R"	Jeff Bridges	The Dude	John Goodman	Walter Sobchak	Julianne Moore	Maude Lebowski	Steve Buscemi	Donny	David Huddleston	The Big Lebowski	15000000	17439163	0	0	
0094074	11847	"Superman IV: The Quest for Peace"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	16	Spilled	Rotten	91	1987	"PG"	Christopher Reeve	Superman/Clark Kent	Gene Hackman	Lex Luthor	Jackie Cooper	Perry White	Marc McClure	Jimmy Olsen	Mariel Hemingway	Lacy Warfield	17000000	15681020	0	0	
0058414	21004	"Nothing But a Man"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	94	90	Upright	Fresh	92	1964	"Unrated"	Ivan Dixon	Duff Anderson	Abbey Lincoln	Josie Dawson	Gloria Foster	Lee	Martin Priest	Driver	Leonard Parker	Frankie	160000		0	0	
0254099	14952	"The Anniversary Party"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	60	58	Spilled	Fresh	115	2001	"R"	Alan Cumming	Joe Therrian	Jennifer Jason Leigh	Sally Therrian	Jane Adams (II)	Clair Forsyth	Mina Badie	Monica Rose	Jennifer Beals	Gina Taylor		4013506	0	0	
0081505	14884	"The Shining"	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	92	93	Upright	Certified Fresh	119	1980	"R"	Jack Nicholson	Jack Torrance	Shelley Duvall	Wendy Torrance	Danny Lloyd	Danny Torrance	Scatman Crothers	Dick Hallorann	Barry Nelson	Ullman	19000000	44017374	0	0	
0093300	12623	"Jaws 4 - The Revenge"	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	15	Spilled	Rotten	89	1987	"PG-13"	Michael Caine	Hoagie	Lorraine Gary	Ellen Brody	Lance Guest	Michael	Mario Van Peebles	Jake	Karen Young	Carla	23000000	20763013	0	0	
0120616	10585	"The Mummy"	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	55	75	Upright	Rotten	125	1999	"PG-13"	Brendan Fraser	Rick O'Connell	Rachel Weisz	Evelyn	John Hannah	Jonathan	Arnold Vosloo	Imhotep	Kevin J. O'Connor	Beni	80000000	155247825	0	1	
0091474	14432	"Manhunter"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	94	77	Upright	Fresh	121	1986	"R"	William L. Petersen	Will Graham	Kim Greist	Molly Graham	Joan Allen	Reba	Brian Cox	Dr. Hannibal Lecktor	Dennis Farina	Jack Crawford	15000000	8620929	0	0	
0146882	12937	"High Fidelity"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	92	90	Upright	Certified Fresh	113	2000	"R"	John Cusack	Rob Gordon	Iben Hjejle	Laura	Jack Black	Barry	Todd Louiso	Dick	Lisa Bonet	Marie DeSalle	20000000	27277055	0	0	
0120755	770694240	"Mission"	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	100	Upright		87	2000	"Unrated"	Chris Coburn	Marvin Raab	Joshua Leonard	Jay	Sandrine Holt	Ima	Evan Arnold	Victor	Adam Arkin	Vissarion Belinsky	125000000	215409889	0	0	
0033532	19878	"The Devil & Daniel Webster (All That Money Can Buy)"	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	100	83	Upright	Fresh	106	1941	"Unrated"	Edward Arnold	Daniel Webster	Walter Huston	Mr. Scratch	James Craig	Jabez Stone	Jane Darwell	Ma Stone	Simone Simon	Belle			1	1	
0094008	13915	"Someone to Watch over Me"	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	76	44	Spilled	Fresh	107	1987	"R"	Tom Berenger	Mike Keegan	Mimi Rogers	Claire Gregory	Lorraine Bracco	Ellie Keegan	Jerry Orbach	Lt. Garber	John Rubinstein	Neil Steinhart	17000000	10278549	0	0	
0086190	11366	"Star Wars: Episode VI - Return of the Jedi"	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	78	95	Upright	Certified Fresh	133	1983	"PG"	Mark Hamill	Luke Skywalker	Harrison Ford	Han Solo	Carrie Fisher	Princess Leia	Billy Dee Williams	Lando Calrissian	Anthony Daniels	C-3PO	32500000	309125409	1	4	
0078841	10184	"Being There"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	95	92	Upright	Fresh	130	1979	"PG"	Peter Sellers	Chance the Gardener	Shirley MacLaine	Eve Rand	Melvyn Douglas	Benjamin Rand	Jack Warden	President Bobby	Richard Basehart	Vladimir Skrapinov			1	1	
0133093	12897	"The Matrix"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	87	85	Upright	Certified Fresh	136	1999	"R"	Keanu Reeves	Neo	Laurence Fishburne	Morpheus	Carrie-Anne Moss	Trinity	Hugo Weaving	Agent Smith	Gloria Foster	The Oracle	63000000	171479930	4	0	
0053619	18607	"L'Avventura (The Adventure)"	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	97	90	Upright	Fresh	145	1960	"Unrated"	Gabriele Ferzetti	Sandro	Monica Vitti	Claudia	Lea Massari	Anna	Dominique Blanchar	Giulia	Renzo Ricci	Anna's Father			0	0	
0131369	11457	"EdTV"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	64	29	Spilled	Fresh	122	1999	"PG-13"	Matthew McConaughey	Ed Pekurny	Jenna Elfman	Shari	Woody Harrelson	Ray Pekurny	Sally Kirkland	Jeanette	Martin Landau	Al	80000000	22362500	0	0	
0102798	10372	"Robin Hood: Prince of Thieves"	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	59	73	Upright	Rotten	155	1991	"PG-13"	Kevin Costner	Robin of Locksley/Robin Hood	Morgan Freeman	Azeem	Mary Elizabeth Mastrantonio	Maid Marian	Christian Slater	Will Scarlett	Alan Rickman	Sheriff of Nottingham	48000000	165493908	0	1	
0118661	11645	"The Avengers"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15	Spilled	Rotten	90	1998	"PG-13"	Ralph Fiennes	John Steed	Uma Thurman	Emma Peel	Sean Connery	Sir August de Wynter	Patrick Macnee	Invisible Jones	Jim Broadbent	Mother	60000000	23322832	0	0	
0143145	770715023	"To Die (Or Not)"	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	25	Spilled		92	1999	"Unrated"	Carme Elias		Lluis Homar		Roger Coma		Marc Martinez		Anna Azcona		135000000	126930660	0	0	
0167404	10054	"The Sixth Sense"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	85	89	Upright	Certified Fresh	105	1999	"PG-13"	Bruce Willis	Dr. Malcolm Crowe	Haley Joel Osment	Cole Sear	Toni Collette	Lynn Sear	Olivia Williams	Anna Crowe	Donnie Wahlberg	Vincent Gray	40000000	293501675	0	6	
0114478	14110	"Smoke"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	93	90	Upright	Fresh	112	1995	"R"	William Hurt	Paul Benjamin	Harvey Keitel	Auggie Wren	Forest Whitaker	Cyrus Cole	Harold Perrineau Jr.	Thomas (Rashid) Cole	Victor Argo	Vinnie	7000000	8349430	0	0	
0097493	15577	"Heathers"	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	95	85	Upright	Certified Fresh	102	1988	"R"	Winona Ryder	Veronica Sawyer	Christian Slater	J.D.	Shannen Doherty	Heather Duke	Lisanne Falk	Heather McNamara	Kim Walker	Heather Chandler	3000000	1108462	0	0	
0092099	11271	"Top Gun"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	55	84	Upright	Rotten	110	1986	"PG"	Tom Cruise	Lt. Pete Mitchell	Kelly McGillis	Charlotte Blackwood	Val Kilmer	Tom Kasanzky	Anthony Edwards	Lt. Nick Bradshaw	Tom Skerritt	Cmdr. Mike Metcalf	15000000	179767866	1	3	
0099892	10916	"Joe Versus the Volcano"	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	58	54	Spilled	Rotten	106	1990	"PG"	Tom Hanks	Joe Banks	Meg Ryan	Angelica	Lloyd Bridges	Samuel Harvey Graynamore	Robert Stack	Dr. Ellison	Dan Hedaya	Mr. Frank Watori			0	0	
0025465	404831511	"Maniac (Sex Maniac)"	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	89	35	Spilled	Fresh	67	1934	"R"	Marcel Andre		Jennie Dark	Maizie	Ted Edwards	Buckley	Celia McGann	Jo	Thea Ramsey	Alice Maxwell	5000		0	0	
0105417	10317	"Sister Act"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	71	65	Upright	Fresh	100	1992	"PG"	Whoopi Goldberg	Deloris Van Cartier/Mary Clarence	Maggie Smith	Mother Superior	Kathy Najimy	Mary Patrick	Wendy Makkena	Mary Robert	Mary Wickes	Mary Lazarus	31000000	139470392	0	0	
0095271	16841	"Halloween 4: The Return of Michael Myers"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	29	55	Spilled	Rotten	88	1988	"R"	Donald Pleasence	Dr. Loomis	Ellie Cornell	Rachel Carruthers	Danielle Harris	Jamie Lloyd	George P. Wilbur	Michael Myers	Michael Pataki	Dr. Hoffman	5000000	17768757	0	0	
0120685	11284	"Godzilla"	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	25	29	Spilled	Rotten	98	1998	"PG-13"	Matthew Broderick	Dr. Niko Tatopoulos	Jean Reno	Philippe Roache	Maria Pitillo	Audrey Timmonds	Hank Azaria	Victor (Animal) Palotti	Kevin Dunn	Colonel Hicks	130000000	136023813	0	0	
0120686	10393	"Stepmom"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	44	75	Upright	Rotten	125	1998	"PG-13"	Julia Roberts	Isabel	Susan Sarandon	Jackie	Ed Harris	Luke	Jena Malone	Anna	Liam Aiken	Ben	50000000	91137662	0	0	
0071853	11450	"Monty Python and the Holy Grail"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	97	95	Upright	Certified Fresh	92	1974	"PG"	Graham Chapman	Hiccoughing Guard	John Cleese	Black Knight	Terry Gilliam	Old Man from Scene 24	Eric Idle	Concorde	Terry Jones	Dennis's Mother			0	0	
0077928	13816	"Midnight Express"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	95	90	Upright	Fresh	121	1978	"R"	Brad Davis	Billy Hayes	Randy Quaid	Jimmy Booth	John Hurt	Max	Irene Miracle	Susan	Bo Hopkins	Tex	2300000	35000000	2	4	
0079945	10849	"Star Trek: The Motion Picture"	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	45	42	Spilled	Rotten	136	1979	"G"	William Shatner	James T. Kirk	Leonard Nimoy	Mr. Spock	DeForest Kelley	Leonard "Bones" McCoy	Stephen Collins	Cmdr. Willard Decker	James Doohan	Montgomery "Scotty" Scott	35000000	39658976	0	3	
0095294	17860	"Hellbound: Hellraiser 2"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	50	60	Upright	Rotten	96	1988	"R"	Clare Higgins	Julia	Ashley Laurence	Kirsty Cotton	Kenneth Cranham	Dr. Channard	Imogen Boorman	Tiffany	Sean Chapman	Uncle Frank			0	0	
0139134	16563	"Cruel Intentions"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	49	81	Upright	Rotten	94	1999	"R"	Sarah Michelle Gellar	Kathryn Merteuil	Ryan Phillippe	Sebastian Valmont	Reese Witherspoon	Annette Hargrove	Selma Blair	Cecile Caldwell	Louise Fletcher	Helen Rosemond	10500000	38201895	0	0	
0120238	404622612	"SubUrbia"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	64	69	Upright	Fresh	118	1997	"R"	Jayce Bartok	Pony	Amie Carey	Sooze	Nicky Katt	Tim	Ajay Naidu	Nazeer	Parker Posey	Erica			0	0	
0175526	130560914	"Cherry Falls"	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	46	31	Spilled	Rotten	100	2000	"R"	Michael Biehn	Sheriff Brent Marken	Brittany Murphy	Jody Marken	Jay Mohr	Leonard Marliston	Gabriel Mann	Kenny	Joe Inscoe	Tom Sisler	14000000		0	0	
0089880	16639	"Rambo: First Blood Part II"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	61	Upright	Rotten	94	1985	"R"	Sylvester Stallone	John Rambo	Richard Crenna	Trautman	Charles Napier	Murdock	Julia Nickson	Co Bao	Steven Berkoff	Podovsky	44000000	150415432	0	1	
0036027	185962005	"I Walked With a Zombie"	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	92	74	Upright	Fresh	69	1943	"PG"	Tom Conway	Paul Holland	Frances Dee	Betsy Connell	James Ellison	Wesley Rand	Edith Barrett	Mrs. Holland	Christine Gordon	Jessica Holland			0	0	
0097428	11227	"Ghostbusters 2"	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	51	61	Upright	Rotten	102	1989	"PG"	Bill Murray	Peter Venkman	Dan Aykroyd	Raymond Stantz	Sigourney Weaver	Dana Barrett	Harold Ramis	Egon Spengler	Rick Moranis	Louis Tully	37000000	112494738	0	0	
0171363	10954	"The Haunting"	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	17	28	Spilled	Rotten	113	1999	"PG-13"	Liam Neeson	Dr. David Marrow	Catherine Zeta-Jones	Theo	Lili Taylor	Nell	Owen Wilson	Luke	Bruce Dern	Mr. Dudley	80000000	91188905	0	0	
0108052	12903	"Schindler's List"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	97	97	Upright	Certified Fresh	196	1993	"R"	Liam Neeson	Oskar Schindler	Ben Kingsley	Itzhak Stern	Ralph Fiennes	Amon Goeth	Caroline Goodall	Emilie Schindler	Jonathan Sagall	Poldek Pfefferberg	22000000	96045248	7	5	
0117802	14550	"Swingers"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	87	90	Upright	Certified Fresh	96	1996	"R"	Jon Favreau	Mike	Vince Vaughn	Trent	Ron Livingston	Rob	Patrick Van Horn	Sue	Alex Desert		200000	4505922	0	0	
0120903	11206	"X-Men"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	82	83	Upright	Certified Fresh	104	2000	"PG-13"	Hugh Jackman	Wolverine	Patrick Stewart	Prof. Charles Xavier	Ian McKellen	Magneto	Famke Janssen	Jean Grey	James Marsden	Cyclops	75000000	157299717	0	0	
0109506	15519	"The Crow"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	82	91	Upright	Certified Fresh	101	1994	"R"	Brandon Lee	Eric Draven	Ernie Hudson	Albrecht	Michael Wincott	Top Dollar	David Patrick Kelly	T-Bird	Angel David	Skank	15000000	50693162	0	0	
0120902	10268	"The X-Files - Fight the Future"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	64	72	Upright	Fresh	120	1998	"PG-13"	David Duchovny	Agent Fox Mulder	Gillian Anderson	Agent Dana Scully	Martin Landau	Dr. Alvin Kurtzweil	Armin Mueller-Stahl	Conrad Strughold	Blythe Danner	Jana Cassidy	66000000	83892374	0	0	
0097322	14192	"The Fabulous Baker Boys"	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	96	68	Upright	Fresh	116	1989	"R"	Jeff Bridges	Jack Baker	Michelle Pfeiffer	Suzie Diamond	Beau Bridges	Frank Baker	Ellie Raab	Nina	Jennifer Tilly	Monica Moran	13000000	16823529	0	4	
0309593	13166	"Final Destination 2"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	47	59	Spilled	Rotten	90	2003	"R"	Ali Larter	Clear Rivers	A.J. Cook	Kimberly Corman	Michael Landes	Thomas Burke	Terrence 'T.C.' Carson	Eugene Dix	Jonathan Cherry	Rory	26000000	46455802	0	0	
0106303	770680216	"Arctic Blue"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	11	Spilled		95	1993	"R"	Rutger Hauer	Ben Corbett	Dylan Walsh	Eric Desmond	Rya Kihlstedt		Richard Bradford	Wilder	Ron Chartier	Sportsman #3	6000000		0	0	
0187738	13362	"Blade II"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	59	68	Upright	Rotten	116	2002	"R"	Wesley Snipes	Blade	Kris Kristofferson	Whistler	Ron Perlman	Rienhard	Leonor Varela	Nyssa	Norman Reedus	Scud	54000000	81645152	0	0	
0151137	13532	"The Messenger: The Story of Joan of Arc"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	30	59	Spilled	Rotten	148	1999	"R"	Milla Jovovich	Joan of Arc	John Malkovich	Charles VII	Faye Dunaway	Yolande d?Aragon	Dustin Hoffman	Joan's conscience	Pascal Greggory	Duke of Alencon		14276317	0	0	
0078788	13092	"Apocalypse Now"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	99	94	Upright	Certified Fresh	153	1979	"R"	Martin Sheen	Capt. Benjamin Willard	Marlon Brando	Colonel Kurtz	Robert Duvall	Lt. Col. Kilgore	Frederic Forrest	Chef	Dennis Hopper	Photo Journalist	31500000	4626290	2	6	
0130018	14749	"I Still Know What You Did Last Summer"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	29	Spilled	Rotten	100	1998	"R"	Jennifer Love Hewitt	Julie James	Freddie Prinze Jr.	Ray Bronson	Brandy Norwood	Karla Wilson	Mekhi Phifer	Tyrell	Muse Watson	Ben Willis	65000000	39989008	0	0	
0266915	10571	"Rush Hour 2"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	52	74	Upright	Rotten	90	2001	"PG-13"	Jackie Chan	Inspector Lee	Chris Tucker	James Carter	John Lone	Ricky Tan	Ziyi Zhang	Hu Li	Roselyn Sanchez	Isabella	90000000	226138454	0	0	
0090021	13175	"Silver Bullet"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	50	56	Spilled	Rotten	94	1985	"R"	Gary Busey	Uncle Red	Corey Haim	Marty Coslaw	Megan Follows	Jane Coslaw	Everett McGill	Reverend Lowe/Werewolf	Terry O'Quinn	Sheriff Joe Haller	7000000	5400000	0	0	
0162346	13385	"Ghost World"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	92	84	Upright	Certified Fresh	111	2001	"R"	Thora Birch	Enid	Steve Buscemi	Seymour	Scarlett Johansson	Becky	Brad Renfro	Josh	Illeana Douglas	Roberta	7000000	6200756	0	1	
0018037	147058647	"The Jazz Singer"	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	76	58	Spilled	Fresh	89	1927	"Unrated"	Al Jolson	Jakie Rabinowitz (Jack Robin)	May McAvoy	Mary Dale	Warner Oland	Cantor Rabinowitz	Eugenie Besserer	Sara Rabinowitz	William Demarest	Buster Billings	422000	3000000	1	1	
0103064	14016	"Terminator 2: Judgment Day"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	92	94	Upright	Certified Fresh	150	1991	"R"	Arnold Schwarzenegger	The Terminator	Linda Hamilton	Sarah Connor	Edward Furlong	John Connor	Robert Patrick	T-1000	Earl Boen	Dr. Silberman	102000000	198116802	4	2	
0118956	13842	"Deep Rising"	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	30	43	Spilled	Rotten	106	1998	"R"	Treat Williams	John Finnegan	Famke Janssen	Trillian	Anthony Heald	Simon Canton	Kevin J. O'Connor	Joey Pantucci	Wes Studi	Hanover	45000000	11146409	0	0	
0110613	11839	"My Girl 2"	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	27	47	Spilled	Rotten	98	1994	"PG"	Dan Aykroyd	Hary Sultenfuss	Anna Chlumsky	Vada Sultenfuss	Austin O'Brien	Nick Zsigmond	Jamie Lee Curtis	Shelly Sultenfuss	Christine Ebersole	Rose Zsigmond			0	0	
0163187	11674	"Runaway Bride"	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	46	53	Spilled	Rotten	109	1999	"PG"	Julia Roberts	Maggie Carpenter	Richard Gere	Ike Graham	Joan Cusack	Peggy Flemming	Hector Elizondo	Fisher	Rita Wilson	Ellie	70000000	152149590	0	0	
0126886	16574	"Election"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	92	79	Upright	Certified Fresh	102	1999	"R"	Matthew Broderick	Jim McAllister	Reese Witherspoon	Tracy Flick	Chris Klein	Paul Metzler	Jessica Campbell	Tammy Metzler	Mark Harelik	Dave Novotny	8000000	14879556	0	1	
0102492	11521	"My Girl"	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	50	78	Upright	Rotten	102	1991	"PG-13"	Macaulay Culkin	Thomas J. Sennett	Anna Chlumsky	Vada Sultenfuss	Dan Aykroyd	Harry Sultenfuss	Jamie Lee Curtis	Shelly DeVoto	Richard Masur	Phil Sultenfuss	16500000	59847242	0	0	
0066434	13687	"THX 1138"	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	90	75	Upright	Certified Fresh	88	1971	"PG"	Robert Duvall	THX 1138	Donald Pleasence	SEN 5421	Don Pedro Colley	SRT	Maggie McOmie	LUH	Ian Wolfe	PTO	777000	2437000	0	0	
0116282	104762093	"Fargo"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	94	93	Upright	Certified Fresh	97	1996	"R"	Frances McDormand	Marge Gunderson	William H. Macy	Jerry Lundegaard	Steve Buscemi	Carl Showalter	Peter Stormare	Gaear Grimsrud	Harve Presnell	Wade Gustafson	7000000	24611975	2	5	
0118749	14134	"Boogie Nights"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	92	89	Upright	Certified Fresh	155	1997	"R"	Mark Wahlberg	Eddie Adams/Dirk Diggler	Burt Reynolds	Jack Horner	Julianne Moore	Amber Waves	John C. Reilly	Reed Rothchild	Don Cheadle	Buck Swope	15000000	26384919	0	3	
